	UniProtID	Description	GO_Terms
IGKV1-27	A0A075B6S5	Immunoglobulin kappa variable 1-27	GO:0002250;GO:0005886;GO:0019814;GO:0005615;GO:0006955;GO:0002377
IGKV2D-30	A0A075B6S6	Immunoglobulin kappa variable 2D-30	GO:0005576;GO:0005886;GO:0006898;GO:0006956;GO:0006958;GO:0019814;GO:0030449;GO:0038095;GO:0038096;GO:0050776;GO:0050900;GO:0006955;GO:0002377;GO:0005615
TRAV12-2	A0A075B6T6	T cell receptor alpha variable 12-2	GO:0002250;GO:0042101
TRAV6	A0A075B6T7	T cell receptor alpha variable 6	GO:0002250;GO:0042101
TRAV9-1	A0A075B6T8	T cell receptor alpha variable 9-1	GO:0002250;GO:0042101;GO:0002377;GO:0005615;GO:0006955
TRAV7	A0A075B6U4	T cell receptor alpha variable 7	GO:0002250;GO:0042101
TRAV36DV7	A0A075B6V5	T cell receptor alpha variable 36/delta variable 7	GO:0002250;GO:0042101
TRAV23DV6	A0A075B6W5	T cell receptor alpha variable 23/delta variable 6	GO:0002250;GO:0042101
TRAV18	A0A075B6X5	T cell receptor alpha variable 18	GO:0002250;GO:0042101;GO:0005615;GO:0002377;GO:0006955
TRAJ3	A0A075B6Y3	T cell receptor alpha joining 3	GO:0002250;GO:0042101
TRAJ42	A0A075B6Y9	T cell receptor alpha joining 42	GO:0002250;GO:0005886
TRDJ1	A0A075B706	T cell receptor delta joining 1	GO:0002250;GO:0042101
LOC100509620	A0A075B734	Uncharacterized protein	GO:0015267;GO:0016021;GO:0071918;GO:0015204
PPIAL4E	A0A075B759	Peptidyl-prolyl cis-trans isomerase A-like 4E	GO:0000413;GO:0005737;GO:0051082;GO:0042026;GO:0003755;GO:0016018
PPIAL4H	A0A075B767	Peptidyl-prolyl cis-trans isomerase A-like 4H	GO:0000413;GO:0005737;GO:0003755;GO:0042026;GO:0016018;GO:0051082
IGLV5-45	A0A087WSX0	Immunoglobulin lambda variable 5-45	GO:0002250;GO:0005886;GO:0019814;GO:0006955;GO:0002377;GO:0005615
IGKV3D-15	A0A087WSY6	Immunoglobulin kappa variable 3D-15	GO:0002250;GO:0005886;GO:0019814;GO:0006955;GO:0002377;GO:0005615
IGKV1D-8	A0A087WSZ0	Immunoglobulin kappa variable 1D-8	GO:0002250;GO:0005886;GO:0019814;GO:0006955;GO:0002377;GO:0005615
TRAV30	A0A087WSZ9	T cell receptor alpha variable 30	GO:0002250;GO:0042101
TRAV27	A0A087WT01	T cell receptor alpha variable 27	GO:0002250;GO:0042101
TRAV9-2	A0A087WT02	T cell receptor alpha variable 9-2	GO:0002250;GO:0042101;GO:0005615;GO:0006955;GO:0002377
TRAV26-1	A0A087WT03	T cell receptor alpha variable 26-1	GO:0002250;GO:0042101
A0A087WT57	A0A087WT57	Uncharacterized protein	GO:0050852;GO:0050853
TMEM265	A0A087WTH1	Transmembrane protein 265	GO:0016021
KCNE1B	A0A087WTH5	Potassium voltage-gated channel subfamily E member 1B	GO:0098915;GO:0015459;GO:0044325;GO:0086011;GO:0060307;GO:0097623;GO:0005251;GO:0008076;GO:1902282;GO:0086005;GO:1902260;GO:0086091
NBPF19	A0A087WUL8	Neuroblastoma breakpoint family member 19	GO:0005737
ZNF724	A0A087WUU8;A8MTY0	Zinc finger protein 724	GO:0003676;GO:0006355;GO:0046872;GO:0000981;GO:0003677;GO:0005634;GO:0006357
A0A087WUV0	A0A087WUV0	Uncharacterized protein	GO:0003676;GO:0006355;GO:0046872;GO:0005634
TRBV16	A0A087WV62	T cell receptor beta variable 16	GO:0002250;GO:0042101
TBC1D3D	A0A087WVF3	TBC1 domain family member 3D	GO:0005886;GO:0090630;GO:0017137;GO:0006886;GO:0005096
COG1	A0A087WVI0;Q8WTW3	Conserved oligomeric Golgi complex subunit 1	GO:0006891;GO:0017119;GO:0000139;GO:0005515;GO:0005794;GO:0006888;GO:0007030;GO:0015031;GO:0032588
TICAM1	A0A087WVI8;Q8IUC6	TIR domain-containing adapter molecule 1	GO:0045087;GO:0002281;GO:0002735;GO:0002756;GO:0005515;GO:0005739;GO:0005776;GO:0005829;GO:0006954;GO:0007249;GO:0010008;GO:0010508;GO:0010628;GO:0016032;GO:0019901;GO:0030890;GO:0031398;GO:0031663;GO:0032092;GO:0032755;GO:0032760;GO:0032816;GO:0034128;GO:0034138;GO:0035666;GO:0043123;GO:0043330;GO:0043496;GO:0045080;GO:0045359;GO:0045429;GO:0051092;GO:0051607;GO:0070266;GO:0071222;GO:0097190;GO:0097342;GO:0140052;GO:1900017
IGKV2-40	A0A087WW87	Immunoglobulin kappa variable 2-40	GO:0002250;GO:0005886;GO:0019814;GO:0006955;GO:0005615;GO:0002377
NPIPB12	A0A087WWP6;C9IYD2;F8W0I5;H0YIQ5	Nuclear pore complex-interacting protein family, member B12	GO:0016021;GO:0005654
ELOA3C	A0A087WX78	Putative elongin-A3 member C	GO:0006357;GO:0070449
MEIKIN	A0A087WXM9	Meiosis-specific kinetochore protein	GO:0000777;GO:0000780;GO:0007060;GO:0010789;GO:0016321;GO:0045143;GO:0051754
TBC1D3I	A0A087WXS9	TBC1 domain family member 3I	GO:0005886;GO:0005096;GO:0090630;GO:0017137;GO:0006886
ARHGEF18	A0A087WZG4;Q6ZSZ5	Rho guanine nucleotide exchange factor 18	GO:0003676;GO:0005089;GO:0005829;GO:0005886;GO:0007264;GO:0035023;GO:0005085;GO:0005856;GO:0007179;GO:0007186;GO:0008360;GO:0016324;GO:0030036;GO:0030054;GO:0043065;GO:0045177;GO:0046872;GO:0051056;GO:0070062
A0A087WZV9	A0A087WZV9	D-aminoacyl-tRNA deacylase	GO:0000049;GO:0005730;GO:0005829;GO:0016021;GO:0051499;GO:0106074
A0A087X0B3	A0A087X0B3	Uncharacterized protein	GO:0005506;GO:0006082;GO:0019373;GO:0020037;GO:0005737;GO:0055114;GO:0008395;GO:0008392;GO:0042738;GO:0016712;GO:0006805;GO:0043231
USP50	A0A087X0L6;Q70EL3	Inactive ubiquitin carboxyl-terminal hydrolase 50	GO:0006511;GO:0016579;GO:0036459;GO:0019783;GO:0032464;GO:0032741;GO:0050718;GO:1900227;GO:2001056;GO:0004843;GO:0007265;GO:0070536;GO:0071108;GO:0014069;GO:0019897;GO:0030496;GO:0005829;GO:0007032;GO:0043197;GO:0031313
TRBV18	A0A087X0M5	T cell receptor beta variable 18	GO:0002250;GO:0042101
TBC1D3E	A0A087X179	TBC1 domain family member 3E	GO:0005886;GO:0090630;GO:0006886;GO:0017137;GO:0005096
A0A087X1B8	A0A087X1B8	Uncharacterized protein	GO:0006633;GO:2001294;GO:0050080;GO:0006085;GO:0005759;GO:0005782;GO:0046321
TMSB15B	A0A087X1C1;P0CG35	Thymosin beta-15B	GO:0007015;GO:0000981;GO:0003674;GO:0005575;GO:0005856;GO:0006357;GO:0030335;GO:0042989;GO:0030334;GO:0005737;GO:0003785
CYP2D7	A0A087X1C5	Putative cytochrome P450 2D7	GO:0005506;GO:0005737;GO:0005739;GO:0006805;GO:0016021;GO:0042738;GO:0070330;GO:0055114;GO:0020037;GO:0016712;GO:0043231;GO:0019369;GO:0008395;GO:0006082
TBC1D3K	A0A087X1G2	TBC1 domain family member 3K	GO:0005886;GO:0006886;GO:0090630;GO:0017137;GO:0005096
A0A087X1K6	A0A087X1K6	Uncharacterized protein	GO:0003676
LOC102723996	A0A087X1L8	Uncharacterized protein	GO:0016021;GO:0007165;GO:0007166;GO:0009897;GO:0071222;GO:0031295;GO:0006955;GO:0009986;GO:0042130;GO:0042102
A0A096LNG9	A0A096LNG9	Uncharacterized protein	GO:0003676
DEFB131B	A0A096LNP1	Beta-defensin 131B	GO:0042742;GO:0045087;GO:0005615
A0A096LNW5	A0A096LNW5	Uncharacterized protein	GO:0005509
SMIM26	A0A096LP01	Small integral membrane protein 26	GO:0016021
CCDC187	A0A096LP49	Coiled-coil domain-containing protein 187	GO:0005813;GO:0008017;GO:0034453
A0A096LPH7	A0A096LPH7	Uncharacterized protein	GO:0005829;GO:1990071;GO:0034498;GO:0006891
A0A096LPK6	A0A096LPK6	Uncharacterized protein	GO:0006306;GO:0019899;GO:0030234;GO:0050790
LMTK3	A0A0A0MQW5;Q96Q04	Serine/threonine-protein kinase LMTK3	GO:0004672;GO:0005524;GO:0006468;GO:0016021;GO:0000139;GO:0003674;GO:0004674;GO:0005515;GO:0005575;GO:0010923;GO:0030424;GO:0030425;GO:0046872
IGKV2D-26	A0A0A0MRZ7	Immunoglobulin kappa variable 2D-26	GO:0002250;GO:0005886;GO:0019814;GO:0005615;GO:0002377;GO:0006955
IGKV3D-11	A0A0A0MRZ8	Immunoglobulin kappa variable 3D-11	GO:0002250;GO:0005886;GO:0019814;GO:0002377;GO:0005615;GO:0006955
IGLV5-52	A0A0A0MRZ9	Immunoglobulin lambda variable 5-52	GO:0002250;GO:0005886;GO:0019814;GO:0002377;GO:0006955;GO:0005615
IGKV6D-21	A0A0A0MT36	Immunoglobulin kappa variable 6D-21	GO:0002250;GO:0005886;GO:0019814;GO:0002377;GO:0006955;GO:0005615
TRBJ2-6	A0A0A0MT70	T cell receptor beta joining 2-6	GO:0002250;GO:0005886;GO:0019814
IGLJ1	A0A0A0MT76	Immunoglobulin lambda joining 1	GO:0002250;GO:0005576;GO:0005886;GO:0019814
TRBJ2-7	A0A0A0MT78	T cell receptor beta joining 2-7	GO:0002250;GO:0005886;GO:0019814
TRBJ2-4	A0A0A0MT87	T cell receptor beta joining 2-4	GO:0002250;GO:0005886;GO:0019814
IGKJ1	A0A0A0MT89	Immunoglobulin kappa joining 1	GO:0002250;GO:0005576;GO:0005886;GO:0019814
TRBJ2-2	A0A0A0MT94	T cell receptor beta joining 2-2	GO:0002250;GO:0005886;GO:0019814
TRBJ2-5	A0A0A0MTA4	T cell receptor beta joining 2-5	GO:0002250;GO:0005886;GO:0019814
TRBJ2-1	A0A0A0MTA7	T cell receptor beta joining 2-1	GO:0002250;GO:0005886;GO:0019814
RNF213	A0A0A0MTC1;Q63HN8	E3 ubiquitin-protein ligase RNF213	GO:0004842;GO:0005730;GO:0005829;GO:0016567;GO:0016887;GO:0046872;GO:0000209;GO:0001525;GO:0002040;GO:0005737;GO:0006511;GO:0016020;GO:0051260;GO:0051865;GO:2000051
VARS2	A0A0A0MTG1;A0A0G2JL52;A0A140TA35;A0A140TA36;Q5ST30	Valine--tRNA ligase, mitochondrial;VARS2	GO:0002161;GO:0004832;GO:0005524;GO:0006438;GO:0106074;GO:0005739;GO:0005829
TRAV14DV4	A0A0A6YYC5	T cell receptor alpha variable 14/delta variable 4	GO:0002250;GO:0042101;GO:0002377;GO:0005615;GO:0006955
TRBV13	A0A0A6YYD4	T cell receptor beta variable 13	GO:0002250;GO:0042101
TRBV6-6	A0A0A6YYG2	T cell receptor beta variable 6-6	GO:0002250;GO:0042101
TRBV6-8	A0A0A6YYG3	T cell receptor beta variable 6-8	GO:0002250;GO:0042101
A0A0A6YYH2	A0A0A6YYH2	Uncharacterized protein	GO:0005654
TRAV8-3	A0A0A6YYJ7	T cell receptor alpha variable 8-3	GO:0002250;GO:0042101
TRAV8-1	A0A0A6YYK1	T cell receptor alpha variable 8-1	GO:0002250;GO:0042101
TRAV16	A0A0A6YYK6	T cell receptor alpha variable 16	GO:0002250;GO:0042101
TRAV19	A0A0A6YYK7	T cell receptor alpha variable 19	GO:0002250;GO:0005886;GO:0005887;GO:0042101;GO:0042287;GO:0042605;GO:0050776;GO:0050852;GO:0006955;GO:0002377;GO:0005615
LY6G6E	A0A0B4J1T7;A0A0G2JKS1	Lymphocyte antigen 6 family member G6E;Lymphocyte antigen 6 family member G6E (Fragment)	GO:0004675;GO:0007178;GO:0016020;GO:0033130;GO:0002029;GO:0030549;GO:0005886;GO:0095500
IGLV1-36	A0A0B4J1U3	Immunoglobulin lambda variable 1-36	GO:0002250;GO:0005886;GO:0019814;GO:0005615;GO:0006955;GO:0002377
TRGV5	A0A0B4J1U4	T cell receptor gamma variable 5	GO:0002250;GO:0042101;GO:0045087;GO:0009897
TRBV9	A0A0B4J1U6	T cell receptor beta variable 9	GO:0002250;GO:0042101
NPIPA9	A0A0B4J1W7	Nuclear pore complex-interacting protein family, member A9	GO:0005654
IGLV9-49	A0A0B4J1Y8	Immunoglobulin lambda variable 9-49	GO:0002250;GO:0005886;GO:0019814;GO:0006955;GO:0002377;GO:0005615
IGKV1D-43	A0A0B4J1Z2	Immunoglobulin kappa variable 1D-43	GO:0002250;GO:0005886;GO:0019814;GO:0005615;GO:0006955;GO:0002377
TRBJ2-3	A0A0B4J200	T cell receptor beta joining 2-3	GO:0002250;GO:0005886;GO:0019814
TRAV2	A0A0B4J234	T cell receptor alpha variable 2	GO:0002250;GO:0042101;GO:0002377;GO:0006955;GO:0005615
TRAV13-2	A0A0B4J235	T cell receptor alpha variable 13-2	GO:0002250;GO:0042101
TRAV8-2	A0A0B4J237	T cell receptor alpha variable 8-2	GO:0002250;GO:0042101
TRAV1-2	A0A0B4J238	T cell receptor alpha variable 1-2	GO:0002250;GO:0042101
TRAV10	A0A0B4J240	T cell receptor alpha variable 10	GO:0002250;GO:0042101
TRAV13-1	A0A0B4J241	T cell receptor alpha variable 13-1	GO:0002250;GO:0042101
TRAV3	A0A0B4J244	T cell receptor alpha variable 3	GO:0002250;GO:0042101
TRAV12-1	A0A0B4J245	T cell receptor alpha variable 12-1	GO:0002250;GO:0042101
TRAV1-1	A0A0B4J248	T cell receptor alpha variable 1-1	GO:0002250;GO:0042101
TRAV5	A0A0B4J249	T cell receptor alpha variable 5	GO:0002250;GO:0042101
TRAV8-6	A0A0B4J262	T cell receptor alpha variable 8-6	GO:0002250;GO:0042101
TRAV39	A0A0B4J263	T cell receptor alpha variable 39	GO:0002250;GO:0042101
TRAV38-1	A0A0B4J264	T cell receptor alpha variable 38-1	GO:0002250;GO:0042101;GO:0005615;GO:0006955;GO:0002377
TRAV26-2	A0A0B4J265	T cell receptor alpha variable 26-2	GO:0002250;GO:0042101
TRAV41	A0A0B4J266	T cell receptor alpha variable 41	GO:0002250;GO:0042101
TRAV4	A0A0B4J268	T cell receptor alpha variable 4	GO:0002250;GO:0042101
TRAV12-3	A0A0B4J271	T cell receptor alpha variable 12-3	GO:0002250;GO:0042101
TRAV24	A0A0B4J272	T cell receptor alpha variable 24	GO:0002250;GO:0042101
TRAV34	A0A0B4J273	T cell receptor alpha variable 34	GO:0002250;GO:0042101
TRAV20	A0A0B4J274	T cell receptor alpha variable 20	GO:0002250;GO:0042101
TRAV17	A0A0B4J275	T cell receptor alpha variable 17	GO:0002250;GO:0042101
TRAV25	A0A0B4J276	T cell receptor alpha variable 25	GO:0002250;GO:0042101
TRAV22	A0A0B4J277	T cell receptor alpha variable 22	GO:0002250;GO:0042101
TRAV21	A0A0B4J279	T cell receptor alpha variable 21	GO:0002250;GO:0042101
TRAV40	A0A0B4J280	T cell receptor alpha variable 40	GO:0002250;GO:0042101;GO:0002377;GO:0005615;GO:0006955
A0A0B4J293	A0A0B4J293	Uncharacterized protein	GO:0004842;GO:0016567;GO:0046872;GO:0071797
PPIAL4C	A0A0B4J2A2	Peptidyl-prolyl cis-trans isomerase A-like 4C	GO:0000413;GO:0005737;GO:0016018;GO:0003755;GO:0042026;GO:0051082
GATD3B	A0A0B4J2D5	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	GO:0005739
IGKV1D-13	A0A0B4J2D9	Immunoglobulin kappa variable 1D-13	GO:0002250;GO:0005886;GO:0019814;GO:0002377;GO:0005615;GO:0006955
TRBV12-4	A0A0B4J2E0	T cell receptor beta variable 12-4	GO:0002250;GO:0042101
PIGBOS1	A0A0B4J2F0	Protein PIGBOS1	GO:0005576
SIK1B	A0A0B4J2F2	Probable serine/threonine-protein kinase SIK1B	GO:0000287;GO:0005524;GO:0005737;GO:0042149;GO:0006468;GO:0032007;GO:0031588;GO:0004674;GO:0035556;GO:0005634
A0A0C4DFX4	A0A0C4DFX4	Uncharacterized protein	GO:0003677;GO:0005524;GO:0006338;GO:0016458;GO:0043486;GO:0043044;GO:0000812;GO:0042393;GO:0016887
IGKV6-21	A0A0C4DH24	Immunoglobulin kappa variable 6-21	GO:0002250;GO:0005886;GO:0019814;GO:0002377;GO:0005615;GO:0006955
IGKV3D-20	A0A0C4DH25	Immunoglobulin kappa variable 3D-20	GO:0005576;GO:0005886;GO:0006898;GO:0006956;GO:0006958;GO:0019814;GO:0030449;GO:0038095;GO:0038096;GO:0050776;GO:0050900;GO:0002377;GO:0005615;GO:0006955
TRGV8	A0A0C4DH27	T cell receptor gamma variable 8	GO:0002250;GO:0042101;GO:0045087;GO:0009897
TRGV4	A0A0C4DH28	T cell receptor gamma variable 4	GO:0002250;GO:0042101;GO:0045087;GO:0009897
IGKV3D-7	A0A0C4DH55	Immunoglobulin kappa variable 3D-7	GO:0002250;GO:0005886;GO:0019814;GO:0002377;GO:0005615;GO:0006955
TRBV5-4	A0A0C4DH59	T cell receptor beta variable 5-4	GO:0002250;GO:0042101
IGHJ1	A0A0C4DH62	Immunoglobulin heavy joining 1	GO:0002250;GO:0005576;GO:0005886;GO:0019814
IGKV1-8	A0A0C4DH67	Immunoglobulin kappa variable 1-8	GO:0002250;GO:0005886;GO:0019814;GO:0002377;GO:0005615;GO:0006955
IGKV2-24	A0A0C4DH68	Immunoglobulin kappa variable 2-24	GO:0002250;GO:0005886;GO:0019814;GO:0002377;GO:0005615;GO:0006955
IGKV1-9	A0A0C4DH69	Immunoglobulin kappa variable 1-9	GO:0002250;GO:0005886;GO:0019814;GO:0002377;GO:0005615;GO:0006955
IGKV1-6	A0A0C4DH72	Immunoglobulin kappa variable 1-6	GO:0002250;GO:0005886;GO:0019814;GO:0002377;GO:0005615;GO:0006955
IGKV1-12	A0A0C4DH73	Immunoglobulin kappa variable 1-12	GO:0005576;GO:0005886;GO:0006898;GO:0006956;GO:0006958;GO:0019814;GO:0030449;GO:0038095;GO:0038096;GO:0050776;GO:0050900;GO:0005615;GO:0002377;GO:0006955
MT-RNR1	A0A0C5B5G6	Mitochondrial-derived peptide MOTS-c	GO:0005615;GO:0032147;GO:0043610;GO:0072522
CCDC163	A0A0D9SF12	Transmembrane protein CCDC163	GO:0016021
A0A0D9SFW1	A0A0D9SFW1	Uncharacterized protein	GO:0046872
A0A0D9SG24	A0A0D9SG24	Uncharacterized protein	GO:0003899;GO:0006383;GO:0000790;GO:0005666
MUC21	A0A0G2JJF7;A0A0G2JKD1;A0A140T8X8;Q5SSG8	Mucin-21	GO:0005886;GO:0007162;GO:0016021;GO:0002223;GO:0005796;GO:0016266;GO:0022408
KRTAP4-8	A0A0G2JLE6;Q9BYQ9	HCG2042992;Keratin-associated protein 4-8	GO:0045095;GO:0005829;GO:0007568;GO:0031424;GO:0042633
ASIC5	A0A0G2JLG4;Q9NY37	Acid-sensing ion channel 5	GO:0005272;GO:0016021;GO:0035725;GO:0005886;GO:0015252;GO:0015280;GO:0034220;GO:1902600
PRAMEF33	A0A0G2JMD5	PRAME family member 33	GO:0008284;GO:0043066;GO:0045596;GO:0045892;GO:0005737
LOC107984156	A0A0G2JMH3	Uncharacterized protein	GO:0005525
HLA-DRA	A0A0G2JMH6;P01903	HLA-DRA;HLA class II histocompatibility antigen, DR alpha chain	GO:0002250;GO:0002504;GO:0016021;GO:0042613;GO:0000139;GO:0002503;GO:0030247;GO:0005515;GO:0005764;GO:0005765;GO:0005886;GO:0005887;GO:0006955;GO:0009986;GO:0012507;GO:0016032;GO:0019886;GO:0023026;GO:0030658;GO:0030666;GO:0030669;GO:0031902;GO:0032395;GO:0032588;GO:0042605;GO:0050852;GO:0050890;GO:0060333;GO:0070062;GO:0071556
A0A0G2JMP0	A0A0G2JMP0	Uncharacterized protein	GO:0004930;GO:0004984;GO:0005886;GO:0016021;GO:0050911;GO:0007186
A0A0G2JMS6	A0A0G2JMS6	Uncharacterized protein	GO:0004866;GO:0005615;GO:0010951
A0A0G2JMZ2	A0A0G2JMZ2	Uncharacterized protein	GO:0016021
A0A0G2JNH3	A0A0G2JNH3	Olfactory receptor	GO:0004930;GO:0004984;GO:0005886;GO:0007186;GO:0016021;GO:0050911
HNRNPCL2	A0A0G2JNQ3;B2RXH8	Heterogeneous nuclear ribonucleoprotein C-like 2	GO:0003723;GO:0005634
PRAMEF9	A0A0G2JP20	PRAME family member 9/15	GO:0008284;GO:0043066;GO:0045596;GO:0045892
BTNL2	A0A0G2JPB7;Q9UIR0	BTNL2;Butyrophilin-like protein 2	GO:0016021;GO:0005886;GO:0050852;GO:0050776;GO:0005102;GO:0009897
NLRP2	A0A0G2JPQ2;Q9NX02	NACHT, LRR and PYD domains-containing protein 2	GO:0005524;GO:0005515;GO:0005737;GO:0005794;GO:0005829;GO:0006915;GO:0006954;GO:0032088;GO:0032090;GO:0043231;GO:0043280;GO:0045087;GO:0050718;GO:0000784
A0A0G2JQZ4	A0A0G2JQZ4	Uncharacterized protein	GO:0005506;GO:0016712;GO:0020037;GO:0055114
IGLV5-39	A0A0G2JS06	Immunoglobulin lambda variable 5-39	GO:0002250;GO:0005886;GO:0019814;GO:0002377;GO:0006955;GO:0005615
A0A0G2JS52	A0A0G2JS52	Uncharacterized protein	GO:0008270;GO:0045944;GO:0005634;GO:0000977;GO:0001228
A0A0J9YVX5	A0A0J9YVX5	Uncharacterized protein	GO:0004672;GO:0005524;GO:0005794;GO:0006468;GO:0043004
TEX13C	A0A0J9YWL9	Putative testis-expressed protein 13C	GO:0046872
TRBJ1-3	A0A0J9YWP8	T cell receptor beta joining 1-3	GO:0002250;GO:0005886;GO:0019814
TRBJ1-6	A0A0J9YWX3	T cell receptor beta joining 1-6	GO:0002250;GO:0005886;GO:0019814
TRBV6-9	A0A0J9YX75	T cell receptor beta variable 6-9	GO:0002250;GO:0042101
TRBJ1-1	A0A0J9YXA8	T cell receptor beta joining 1-1	GO:0002250;GO:0005886;GO:0019814
TRBJ1-4	A0A0J9YXG5	T cell receptor beta joining 1-4	GO:0002250;GO:0005886;GO:0019814
TRBJ1-5	A0A0J9YXM7	T cell receptor beta joining 1-5	GO:0002250;GO:0005886;GO:0019814
TRBV6-2	A0A0J9YXY3	T cell receptor beta variable 6-2	GO:0002250;GO:0042101
TEX13D	A0A0J9YY54	Testis-expressed protein 13D	GO:0046872
A0A0J9YYC4	A0A0J9YYC4	Uncharacterized protein	GO:0003730;GO:0003735;GO:0005840;GO:0006412;GO:0006417;GO:0045182
A0A0J9YYD9	A0A0J9YYD9	Uncharacterized protein	GO:0016021;GO:0050852;GO:0050853
TRBV10-1	A0A0K0K1A3	T cell receptor beta variable 10-1	GO:0002250;GO:0042101
TRBV6-5	A0A0K0K1A5	T cell receptor beta variable 6-5	GO:0002250;GO:0042101
TRBV30	A0A0K0K1B3	T cell receptor beta variable 30	GO:0002250;GO:0042101
TRBV11-1	A0A0K0K1C0	T cell receptor beta variable 11-1	GO:0002250;GO:0042101
TRBV27	A0A0K0K1C4	T cell receptor beta variable 27	GO:0002250;GO:0042101
TRBV6-1	A0A0K0K1D8	T cell receptor beta variable 6-1	GO:0002250;GO:0042101
TRBV7-7	A0A0K0K1E9	T cell receptor beta variable 7-7	GO:0002250;GO:0042101
TRBV10-3	A0A0K0K1G6	T cell receptor beta variable 10-3	GO:0002250;GO:0042101
TRBV10-2	A0A0K0K1G8	T cell receptor beta variable 10-2	GO:0002250;GO:0042101
CD300H	A0A0K2S4Q6	Protein CD300H	GO:0001816;GO:0005515;GO:0005576;GO:0016021;GO:0030593;GO:0042803
TRIM47	A0A0M3HER3;Q96LD4	E3 ubiquitin-protein ligase TRIM47	GO:0008270;GO:0004842;GO:0005634;GO:0005829;GO:0016567
GOLGA6L10	A0A0M3HER8;A6NI86	Golgin subfamily A member 6-like protein 10	GO:0005794
GLYATL1B	A0A0U1RQE8	Putative glycine N-acyltransferase-like protein 1B	GO:0005739;GO:0047946;GO:0047961
KLF18	A0A0U1RQI7	Kruppel-like factor 18	GO:0003676;GO:0046872;GO:0006357;GO:0000981;GO:0005634
A0A0U1RQK1	A0A0U1RQK1	Uncharacterized protein	GO:0003676;GO:0006355;GO:0046872;GO:0005634
TMEM275	A0A0U1RQS6	Transmembrane protein 275	GO:0016021
A0A0U1RQV5	A0A0U1RQV5	Uncharacterized protein	GO:0042256;GO:0043022;GO:0000054;GO:0043023;GO:0005829;GO:0005730;GO:0030687;GO:1902626
