	Description	UniProtID
1110055C04Rik	RIKEN cDNA 1110055C04 gene	MGI:1916031
1110057P08Rik	RIKEN cDNA 1110057P08 gene	MGI:1916094
1110058D11Rik	RIKEN cDNA 1110058D11 gene	MGI:1916021
1110059E24Rik	RIKEN cDNA 1110059E24 gene	MGI:1913456
1110059G02Rik	RIKEN cDNA 1110059G02 gene	MGI:1916036
1110059G10Rik	RIKEN cDNA 1110059G10 gene	MGI:1913452
1110060G06Rik	RIKEN cDNA 1110060G06 gene	MGI:1916064
1110064A23Rik	RIKEN cDNA 1110064A23 gene	MGI:1916143
1110065F06Rik	RIKEN cDNA 1110065F06 gene	MGI:3026937
1110065H08Rik	RIKEN cDNA 1110065H08 gene	MGI:1916155
1110065P20Rik	RIKEN cDNA 1110065P20 gene	MGI:1916170
1190001L17Rik	RIKEN cDNA 1190001L17 gene	MGI:1916173
1190001M18Rik	RIKEN cDNA 1190001M18 gene	MGI:1916174
1190005I06Rik	RIKEN cDNA 1190005I06 gene	MGI:1916168
1190007I07Rik	RIKEN cDNA 1190007I07 gene	MGI:3698433
1190028D05Rik	RIKEN cDNA 1190028D05 gene	MGI:3036227
1200007C13Rik	RIKEN cDNA 1200007C13 gene	MGI:1921369
1200009P19Rik	RIKEN cDNA 1200009P19 gene	MGI:1915687
1200015M12Rik	RIKEN cDNA 1200015M12 gene	MGI:1918989
12aex	12a exencephaly	MGI:3578159
1300002E11Rik	RIKEN cDNA 1300002E11 gene	MGI:1919001
1300014J16Rik	RIKEN cDNA 1300014J16 gene	MGI:1921410
1300017J02Rik	RIKEN cDNA 1300017J02 gene	MGI:1919025
1500002C15Rik	RIKEN cDNA 1500002C15 gene	MGI:1916196
1500002F19Rik	RIKEN cDNA 1500002F19 gene	MGI:1923933
1500002I01Rik	RIKEN cDNA 1500002I01 gene	MGI:1916228
1500002J14Rik	RIKEN cDNA 1500002J14 gene	MGI:1916195
1500004A13Rik	RIKEN cDNA 1500004A13 gene	MGI:2442808
1500004F05Rik	RIKEN cDNA 1500004F05 gene	MGI:1917015
1500005C15Rik	RIKEN cDNA 1500005C15 gene	MGI:1919269
1500006G06Rik	RIKEN cDNA 1500006G06 gene	MGI:1916206
1500009C09Rik	RIKEN cDNA 1500009C09 gene	MGI:1923755
1500009L16Rik	RIKEN cDNA 1500009L16 gene	MGI:1917034
1500010C09Rik	RIKEN cDNA 1500010C09 gene	MGI:1919052
1500011B03Rik	RIKEN cDNA 1500011B03 gene	MGI:1913486
1500012K07Rik	RIKEN cDNA 1500012K07 gene	MGI:1916204
1500015A07Rik	RIKEN cDNA 1500015A07 gene	MGI:1916232
1500015L24Rik	RIKEN cDNA 1500015L24 gene	MGI:1916244
1500026H17Rik	RIKEN cDNA 1500026H17 gene	MGI:1916252
1500032F14Rik	RIKEN cDNA 1500032F14 gene	MGI:1925555
1500032P08Rik	RIKEN cDNA 1500032P08 gene	MGI:1916275
1500035N22Rik	RIKEN cDNA 1500035N22 gene	MGI:1917508
1500037F05Rik	RIKEN cDNA 1500037F05 gene	MGI:1923940
1520401A03Rik	RIKEN cDNA 1520401A03 gene	MGI:2443785
1520401O13Rik	RIKEN cDNA 1520401O13 gene	MGI:1924911
1600002D24Rik	RIKEN cDNA 1600002D24 gene	MGI:1917026
1600010F14Rik	RIKEN cDNA 1600010F14 gene	MGI:1917033
1600010M07Rik	RIKEN cDNA 1600010M07 gene	MGI:1917031
1600012H06Rik	RIKEN cDNA 1600012H06 gene	MGI:1915162
1600012P17Rik	RIKEN cDNA 1600012P17 gene	MGI:1919275
1600014C10Rik	RIKEN cDNA 1600014C10 gene	MGI:1919494
1600014C23Rik	RIKEN cDNA 1600014C23 gene	MGI:1919490
1600015H23Rik	RIKEN cDNA 1600015H23 gene	MGI:1920498
1600017G08Rik	RIKEN cDNA 1600017G08 gene	MGI:1917017
1600017P15Rik	RIKEN cDNA 1600017P15 gene	MGI:1920499
1600019K03Rik	RIKEN cDNA 1600019K03 gene	MGI:1917018
1600020E01Rik	RIKEN cDNA 1600020E01 gene	MGI:1919262
1600022D10Rik	RIKEN cDNA 1600022D10 gene	MGI:1920502
1600023N17Rik	RIKEN cDNA 1600023N17 gene	MGI:1917038
1600025M17Rik	RIKEN cDNA 1600025M17 gene	MGI:1919280
1600027J07Rik	RIKEN cDNA 1600027J07 gene	MGI:1917044
1600029I14Rik	RIKEN cDNA 1600029I14 gene	MGI:1917047
1700001A13Rik	RIKEN cDNA 1700001A13 gene	MGI:1916554
1700001C07Rik	RIKEN cDNA 1700001C07 gene	MGI:1916543
1700001C19Rik	RIKEN cDNA 1700001C19 gene	MGI:1922712
1700001D01Rik	RIKEN cDNA 1700001D01 gene	MGI:1916529
1700001E04Rik	RIKEN cDNA 1700001E04 gene	MGI:1922688
1700001F09Rik	RIKEN cDNA 1700001F09 gene	MGI:1919076
1700001G01Rik	RIKEN cDNA 1700001G01 gene	MGI:1922683
1700001G11Rik	RIKEN cDNA 1700001G11 gene	MGI:1916553
1700001G17Rik	RIKEN cDNA 1700001G17 gene	MGI:1914753
1700001I21Rik	RIKEN cDNA 1700001I21 gene	MGI:1919456
1700001J03Rik	RIKEN cDNA 1700001J03 gene	MGI:1916532
1700001J04Rik	RIKEN cDNA 1700001J04 gene	MGI:1919075
1700001K19Rik	RIKEN cDNA 1700001K19 gene	MGI:1913573
1700001K23Rik	RIKEN cDNA 1700001K23 gene	MGI:1916569
1700001L05Rik	RIKEN cDNA 1700001L05 gene	MGI:1916541
1700001L19Rik	RIKEN cDNA 1700001L19 gene	MGI:1916565
1700001N15Rik	RIKEN cDNA 1700001N15 gene	MGI:1923629
1700001O22Rik	RIKEN cDNA 1700001O22 gene	MGI:1923631
1700001P01Rik	RIKEN cDNA 1700001P01 gene	MGI:1919465
1700003C15Rik	RIKEN cDNA 1700003C15 gene	MGI:1916595
1700003D09Rik	RIKEN cDNA 1700003D09 gene	MGI:1916588
1700003E16Rik	RIKEN cDNA 1700003E16 gene	MGI:1919087
1700003E24Rik	RIKEN cDNA 1700003E24 gene	MGI:1916607
1700003F12Rik	RIKEN cDNA 1700003F12 gene	MGI:1922730
1700003G18Rik	RIKEN cDNA 1700003G18 gene	MGI:1916600
1700003H04Rik	RIKEN cDNA 1700003H04 gene	MGI:1923637
1700003I16Rik	RIKEN cDNA 1700003I16 gene	MGI:1923949
1700003I22Rik	RIKEN cDNA 1700003I22 gene	MGI:1916606
1700003K11Rik	RIKEN cDNA 1700003K11 gene	MGI:1919457
1700003L19Rik	RIKEN cDNA 1700003L19 gene	MGI:1922743
1700003M07Rik	RIKEN cDNA 1700003M07 gene	MGI:1919475
1700003O08Rik	RIKEN cDNA 1700003O08 gene	MGI:1922904
1700003O11Rik	RIKEN cDNA 1700003O11 gene	MGI:1922882
1700003P14Rik	RIKEN cDNA 1700003P14 gene	MGI:1916594
1700006A11Rik	RIKEN cDNA 1700006A11 gene	MGI:1919074
1700006F04Rik	RIKEN cDNA 1700006F04 gene	MGI:1922682
1700006H20Rik	RIKEN cDNA 1700006H20 gene	MGI:1919491
1700006H21Rik	RIKEN cDNA 1700006H21 gene	MGI:1919507
1700006J14Rik	RIKEN cDNA 1700006J14 gene	MGI:2447818
1700006P03Rik	RIKEN cDNA 1700006P03 gene	MGI:1925628
1700007A02Rik	RIKEN cDNA 1700007A02 gene	MGI:1922883
1700007F19Rik	RIKEN cDNA 1700007F19 gene	MGI:1915100
1700007H22Rik	RIKEN cDNA 1700007H22 gene	MGI:1922734
1700007J10Rik	RIKEN cDNA 1700007J10 gene	MGI:1916570
1700007J24Rik	RIKEN cDNA 1700007J24 gene	MGI:1922742
1700007K13Rik	RIKEN cDNA 1700007K13 gene	MGI:1916577
1700007M16Rik	RIKEN cDNA 1700007M16 gene	MGI:1919487
1700007P06Rik	RIKEN cDNA 1700007P06 gene	MGI:1916558
1700008A07Rik	RIKEN cDNA 1700008A07 gene	MGI:1922748
1700008A23Rik	RIKEN cDNA 1700008A23 gene	MGI:1922713
1700008B11Rik	RIKEN cDNA 1700008B11 gene	MGI:1913571
1700008B15Rik	RIKEN cDNA 1700008B15 gene	MGI:1922695
1700008C04Rik	RIKEN cDNA 1700008C04 gene	MGI:1922744
1700008F19Rik	RIKEN cDNA 1700008F19 gene	MGI:1922881
1700008H02Rik	RIKEN cDNA 1700008H02 gene	MGI:1913575
1700008J07Rik	RIKEN cDNA 1700008J07 gene	MGI:1916610
1700008K24Rik	RIKEN cDNA 1700008K24 gene	MGI:1916561
1700008N11Rik	RIKEN cDNA 1700008N11 gene	MGI:1922692
1700008N17Rik	RIKEN cDNA 1700008N17 gene	MGI:1922699
1700008O03Rik	RIKEN cDNA 1700008O03 gene	MGI:1916599
1700008O09Rik	RIKEN cDNA 1700008O09 gene	MGI:1922888
1700008P02Rik	RIKEN cDNA 1700008P02 gene	MGI:1916597
1700009C05Rik	RIKEN cDNA 1700009C05 gene	MGI:1921470
1700009J07Rik	RIKEN cDNA 1700009J07 gene	MGI:1914938
1700009N14Rik	RIKEN cDNA 1700009N14 gene	MGI:1922721
1700010B08Rik	RIKEN cDNA 1700010B08 gene	MGI:1922735
1700010B09Rik	RIKEN cDNA 1700010B09 gene	MGI:1916591
1700010B13Rik	RIKEN cDNA 1700010B13 gene	MGI:1922741
1700010D01Rik	RIKEN cDNA 1700010D01 gene	MGI:1923636
1700010G06Rik	RIKEN cDNA 1700010G06 gene	MGI:1921467
1700010H22Rik	RIKEN cDNA 1700010H22 gene	MGI:1922750
1700010I02Rik	RIKEN cDNA 1700010I02 gene	MGI:1922726
1700010I14Rik	RIKEN cDNA 1700010I14 gene	MGI:1914181
1700010J16Rik	RIKEN cDNA 1700010J16 gene	MGI:1916605
1700010K23Rik	RIKEN cDNA 1700010K23 gene	MGI:1922751
1700010K24Rik	RIKEN cDNA 1700010K24 gene	MGI:1922690
1700010L04Rik	RIKEN cDNA 1700010L04 gene	MGI:1916583
1700010L13Rik	RIKEN cDNA 1700010L13 gene	MGI:1922878
1700010N08Rik	RIKEN cDNA 1700010N08 gene	MGI:1916590
1700011B04Rik	RIKEN cDNA 1700011B04 gene	MGI:1922894
1700011C11Rik	RIKEN cDNA 1700011C11 gene	MGI:1922701
1700011D18Rik	RIKEN cDNA 1700011D18 gene	MGI:1922714
1700011L03Rik	RIKEN cDNA 1700011L03 gene	MGI:1916535
1700011L22Rik	RIKEN cDNA 1700011L22 gene	MGI:1914937
1700011M02Rik	RIKEN cDNA 1700011M02 gene	MGI:1922693
1700012A03Rik	RIKEN cDNA 1700012A03 gene	MGI:1923632
1700012B07Rik	RIKEN cDNA 1700012B07 gene	MGI:1916574
1700012B09Rik	RIKEN cDNA 1700012B09 gene	MGI:1916575
1700012C08Rik	RIKEN cDNA 1700012C08 gene	MGI:1923635
1700012C14Rik	RIKEN cDNA 1700012C14 gene	MGI:1916587
1700012D01Rik	RIKEN cDNA 1700012D01 gene	MGI:1919493
1700012D14Rik	RIKEN cDNA 1700012D14 gene	MGI:1922729
1700012D16Rik	RIKEN cDNA 1700012D16 gene	MGI:1922739
1700012E03Rik	RIKEN cDNA 1700012E03 gene	MGI:1923817
1700012H19Rik	RIKEN cDNA 1700012H19 gene	MGI:1923643
1700012I11Rik	RIKEN cDNA 1700012I11 gene	MGI:1916584
1700012J15Rik	RIKEN cDNA 1700012J15 gene	MGI:1922737
1700012J22Rik	RIKEN cDNA 1700012J22 gene	MGI:1922746
1700012M20Rik	RIKEN cDNA 1700012M20 gene	MGI:1923644
1700012O15Rik	RIKEN cDNA 1700012O15 gene	MGI:1922738
1700012P22Rik	RIKEN cDNA 1700012P22 gene	MGI:1916614
1700013A02Rik	RIKEN cDNA 1700013A02 gene	MGI:1916616
1700013D24Rik	RIKEN cDNA 1700013D24 gene	MGI:1924171
1700013F07Rik	RIKEN cDNA 1700013F07 gene	MGI:1922754
1700013G24Rik	RIKEN cDNA 1700013G24 gene	MGI:1916630
1700013H16Rik	RIKEN cDNA 1700013H16 gene	MGI:1922764
1700013K18Rik	RIKEN cDNA 1700013K18 gene	MGI:1919497
1700013M08Rik	RIKEN cDNA 1700013M08 gene	MGI:1922755
1700013N06Rik	RIKEN cDNA 1700013N06 gene	MGI:1922884
1700014B07Rik	RIKEN cDNA 1700014B07 gene	MGI:1919498
1700014D04Rik	RIKEN cDNA 1700014D04 gene	MGI:1921474
1700014D06Rik	RIKEN cDNA 1700014D06 gene	MGI:1924191
1700014F14Rik	RIKEN cDNA 1700014F14 gene	MGI:1924172
1700014L14Rik	RIKEN cDNA 1700014L14 gene	MGI:1924173
1700015C15Rik	RIKEN cDNA 1700015C15 gene	MGI:1922782
1700015C17Rik	RIKEN cDNA 1700015C17 gene	MGI:1924178
1700015G11Rik	RIKEN cDNA 1700015G11 gene	MGI:1922779
1700015H07Rik	RIKEN cDNA 1700015H07 gene	MGI:1922777
1700015I17Rik	RIKEN cDNA 1700015I17 gene	MGI:1922784
1700015O03Rik	RIKEN cDNA 1700015O03 gene	MGI:1925746
1700015O11Rik	RIKEN cDNA 1700015O11 gene	MGI:1919105
1700015P03Rik	RIKEN cDNA 1700015P03 gene	MGI:1919473
1700016A09Rik	RIKEN cDNA 1700016A09 gene	MGI:1921477
1700016B01Rik	RIKEN cDNA 1700016B01 gene	MGI:1922890
1700016B15Rik	RIKEN cDNA 1700016B15 gene	MGI:1916677
1700016C15Rik	RIKEN cDNA 1700016C15 gene	MGI:1916678
1700016C19Rik	RIKEN cDNA 1700016C19 gene	MGI:1921478
1700016C23Rik	RIKEN cDNA 1700016C23 gene	MGI:1924181
1700016D02Rik	RIKEN cDNA 1700016D02 gene	MGI:1922785
1700016D06Rik	RIKEN cDNA 1700016D06 gene	MGI:1923663
1700016D08Rik	RIKEN cDNA 1700016D08 gene	MGI:1925627
1700016D18Rik	RIKEN cDNA 1700016D18 gene	MGI:1923668
1700016F12Rik	RIKEN cDNA 1700016F12 gene	MGI:1916674
1700016G22Rik	RIKEN cDNA 1700016G22 gene	MGI:1919117
1700016H03Rik	RIKEN cDNA 1700016H03 gene	MGI:1922903
1700016H13Rik	RIKEN cDNA 1700016H13 gene	MGI:1921468
1700016J18Rik	RIKEN cDNA 1700016J18 gene	MGI:1922811
1700016K05Rik	RIKEN cDNA 1700016K05 gene	MGI:1922794
1700016K19Rik	RIKEN cDNA 1700016K19 gene	MGI:1921480
1700016L04Rik	RIKEN cDNA 1700016L04 gene	MGI:1916662
1700016L15Rik	RIKEN cDNA 1700016L15 gene	MGI:1922899
1700016P03Rik	RIKEN cDNA 1700016P03 gene	MGI:1922792
1700016P04Rik	RIKEN cDNA 1700016P04 gene	MGI:1916663
1700016P22Rik	RIKEN cDNA 1700016P22 gene	MGI:1924180
1700017B05Rik	RIKEN cDNA 1700017B05 gene	MGI:1921461
1700017G19Rik	RIKEN cDNA 1700017G19 gene	MGI:1919477
1700017H01Rik	RIKEN cDNA 1700017H01 gene	MGI:1921481
1700017I07Rik	RIKEN cDNA 1700017I07 gene	MGI:1922756
1700017J07Rik	RIKEN cDNA 1700017J07 gene	MGI:1922758
1700017L05Rik	RIKEN cDNA 1700017L05 gene	MGI:1916620
1700017M07Rik	RIKEN cDNA 1700017M07 gene	MGI:1923648
1700017N19Rik	RIKEN cDNA 1700017N19 gene	MGI:1913855
1700018A04Rik	RIKEN cDNA 1700018A04 gene	MGI:1916631
1700018A14Rik	RIKEN cDNA 1700018A14 gene	MGI:1916641
1700018A23Rik	RIKEN cDNA 1700018A23 gene	MGI:1919481
1700018B08Rik	RIKEN cDNA 1700018B08 gene	MGI:1923655
1700018B24Rik	RIKEN cDNA 1700018B24 gene	MGI:1913582
1700018F24Rik	RIKEN cDNA 1700018F24 gene	MGI:1916646
1700018G05Rik	RIKEN cDNA 1700018G05 gene	MGI:1916638
1700018H16Rik	RIKEN cDNA 1700018H16 gene	MGI:1922889
1700018L02Rik	RIKEN cDNA 1700018L02 gene	MGI:1914579
1700018P08Rik	RIKEN cDNA 1700018P08 gene	MGI:1920580
1700018P22Rik	RIKEN cDNA 1700018P22 gene	MGI:1916645
1700019A02Rik	RIKEN cDNA 1700019A02 gene	MGI:1916647
1700019A23Rik	RIKEN cDNA 1700019A23 gene	MGI:1915470
1700019C18Rik	RIKEN cDNA 1700019C18 gene	MGI:1922793
1700019D03Rik	RIKEN cDNA 1700019D03 gene	MGI:1914330
1700019E08Rik	RIKEN cDNA 1700019E08 gene	MGI:1916655
1700019F05Rik	RIKEN cDNA 1700019F05 gene	MGI:1916652
1700019G24Rik	RIKEN cDNA 1700019G24 gene	MGI:1919499
1700019H22Rik	RIKEN cDNA 1700019H22 gene	MGI:1919462
1700019J19Rik	RIKEN cDNA 1700019J19 gene	MGI:1923662
1700019L13Rik	RIKEN cDNA 1700019L13 gene	MGI:1919476
1700019L22Rik	RIKEN cDNA 1700019L22 gene	MGI:1922799
1700019N19Rik	RIKEN cDNA 1700019N19 gene	MGI:1914757
1700019P21Rik	RIKEN cDNA 1700019P21 gene	MGI:1922796
1700020A23Rik	RIKEN cDNA 1700020A23 gene	MGI:1922906
1700020B03Rik	RIKEN cDNA 1700020B03 gene	MGI:1919484
1700020D12Rik	RIKEN cDNA 1700020D12 gene	MGI:1916687
1700020D14Rik	RIKEN cDNA 1700020D14 gene	MGI:1916688
1700020G03Rik	RIKEN cDNA 1700020G03 gene	MGI:1921485
1700020G17Rik	RIKEN cDNA 1700020G17 gene	MGI:1922880
1700020K04Rik	RIKEN cDNA 1700020K04 gene	MGI:1922804
1700020L05Rik	RIKEN cDNA 1700020L05 gene	MGI:1922887
1700020L13Rik	RIKEN cDNA 1700020L13 gene	MGI:1922879
1700020L24Rik	RIKEN cDNA 1700020L24 gene	MGI:1913580
1700020M10Rik	RIKEN cDNA 1700020M10 gene	MGI:1922812
1700020M21Rik	RIKEN cDNA 1700020M21 gene	MGI:1923652
1700020N01Rik	RIKEN cDNA 1700020N01 gene	MGI:1914942
1700020N15Rik	RIKEN cDNA 1700020N15 gene	MGI:1922759
1700020N18Rik	RIKEN cDNA 1700020N18 gene	MGI:1914336
1700021A07Rik	RIKEN cDNA 1700021A07 gene	MGI:1924174
1700021F02Rik	RIKEN cDNA 1700021F02 gene	MGI:1922769
1700021F07Rik	RIKEN cDNA 1700021F07 gene	MGI:1919471
1700021F13Rik	RIKEN cDNA 1700021F13 gene	MGI:1924176
1700021G15Rik	RIKEN cDNA 1700021G15 gene	MGI:1920506
1700021J08Rik	RIKEN cDNA 1700021J08 gene	MGI:1919485
1700021L22Rik	RIKEN cDNA 1700021L22 gene	MGI:1919478
1700021L23Rik	RIKEN cDNA 1700021L23 gene	MGI:1923660
1700021N20Rik	RIKEN cDNA 1700021N20 gene	MGI:1924179
1700021N21Rik	RIKEN cDNA 1700021N21 gene	MGI:1916659
1700021P04Rik	RIKEN cDNA 1700021P04 gene	MGI:1922771
1700022A22Rik	RIKEN cDNA 1700022A22 gene	MGI:1922807
1700022C07Rik	RIKEN cDNA 1700022C07 gene	MGI:1919460
1700022E09Rik	RIKEN cDNA 1700022E09 gene	MGI:1922886
1700022F17Rik	RIKEN cDNA 1700022F17 gene	MGI:1916671
1700022H01Rik	RIKEN cDNA 1700022H01 gene	MGI:1922789
1700022H16Rik	RIKEN cDNA 1700022H16 gene	MGI:1916670
1700022I11Rik	RIKEN cDNA 1700022I11 gene	MGI:1914567
1700022N22Rik	RIKEN cDNA 1700022N22 gene	MGI:1916681
1700023A20Rik	RIKEN cDNA 1700023A20 gene	MGI:1916624
1700023B13Rik	RIKEN cDNA 1700023B13 gene	MGI:1920529
1700023C21Rik	RIKEN cDNA 1700023C21 gene	MGI:1920507
1700023D08Rik	RIKEN cDNA 1700023D08 gene	MGI:1921473
1700023D09Rik	RIKEN cDNA 1700023D09 gene	MGI:1916695
1700023F02Rik	RIKEN cDNA 1700023F02 gene	MGI:1916683
1700023G08Rik	RIKEN cDNA 1700023G08 gene	MGI:1919483
1700023G09Rik	RIKEN cDNA 1700023G09 gene	MGI:1920531
1700023H06Rik	RIKEN cDNA 1700023H06 gene	MGI:1916692
1700024B05Rik	RIKEN cDNA 1700024B05 gene	MGI:1922768
1700024B18Rik	RIKEN cDNA 1700024B18 gene	MGI:1916643
1700024F20Rik	RIKEN cDNA 1700024F20 gene	MGI:1919101
1700024G13Rik	RIKEN cDNA 1700024G13 gene	MGI:1914335
1700024I08Rik	RIKEN cDNA 1700024I08 gene	MGI:1922772
1700024J04Rik	RIKEN cDNA 1700024J04 gene	MGI:1919098
1700024K11Rik	RIKEN cDNA 1700024K11 gene	MGI:1922775
1700024N05Rik	RIKEN cDNA 1700024N05 gene	MGI:1922770
1700024P12Rik	RIKEN cDNA 1700024P12 gene	MGI:1916642
1700025A08Rik	RIKEN cDNA 1700025A08 gene	MGI:1916650
1700025B11Rik	RIKEN cDNA 1700025B11 gene	MGI:1923659
1700025C18Rik	RIKEN cDNA 1700025C18 gene	MGI:1919461
1700025D23Rik	RIKEN cDNA 1700025D23 gene	MGI:1916667
1700025F24Rik	RIKEN cDNA 1700025F24 gene	MGI:1914331
1700025G04Rik	RIKEN cDNA 1700025G04 gene	MGI:1916649
1700025H01Rik	RIKEN cDNA 1700025H01 gene	MGI:1922781
1700025J12Rik	RIKEN cDNA 1700025J12 gene	MGI:1916657
1700025K24Rik	RIKEN cDNA 1700025K24 gene	MGI:1916668
1700025M24Rik	RIKEN cDNA 1700025M24 gene	MGI:1919526
